,user_id,book_id,review_id,is_read,rating,review_text_incomplete,date_added,date_updated,read_at,started_at
0,8842281e1d1347389f2ab93d60773d4d,1384,1bad0122cebb4aa9213f9fe1aa281f66,True,4,,Wed May 09 09:33:44 -0700 2007,Wed May 09 09:33:44 -0700 2007,,
1,8842281e1d1347389f2ab93d60773d4d,1376,eb6e502d0c04d57b43a5a02c21b64ab4,True,4,,Wed May 09 09:33:18 -0700 2007,Wed May 09 09:33:18 -0700 2007,,
2,8842281e1d1347389f2ab93d60773d4d,30119,787564bef16cb1f43e0f641ab59d25b7,True,5,,Sat Jan 13 13:44:20 -0800 2007,Wed Mar 22 11:45:08 -0700 2017,Tue Mar 01 00:00:00 -0800 1983,
3,72fb0d0087d28c832f15776b0d936598,24769928,8c80ee74743d4b3b123dd1a2e0c0bcac,False,0,,Wed Apr 27 11:05:51 -0700 2016,Wed Apr 27 11:05:52 -0700 2016,,
4,72fb0d0087d28c832f15776b0d936598,30119,2a83589fb597309934ec9b1db5876aaf,True,3,,Mon Jun 04 18:58:08 -0700 2012,Mon Jun 04 18:58:13 -0700 2012,,
5,ab2923b738ea3082f5f3efcbbfacb218,240007,149b57966342c0c99eb8ec234acb7cdb,True,4,,Tue Nov 10 17:16:38 -0800 2009,Tue Nov 10 17:16:38 -0800 2009,,
6,ab2923b738ea3082f5f3efcbbfacb218,30119,58c2b20d548f74675f9422f766017102,True,4,,Mon Mar 17 15:38:15 -0700 2008,Mon Mar 17 15:38:15 -0700 2008,,
7,d986f354a045ffb91234e4af4d1b12fd,23513349,e537bc63cfadcd498f3db8856a1c8f01,False,0,,Thu Jul 20 13:55:22 -0700 2017,Thu Jul 20 13:55:23 -0700 2017,,
8,d986f354a045ffb91234e4af4d1b12fd,17805212,49fb85193bc84a53a2bc5d54e3514140,False,0,,Sat Feb 28 04:43:20 -0800 2015,Sat Feb 28 04:43:21 -0800 2015,,
9,d986f354a045ffb91234e4af4d1b12fd,10843755,55190dbf66bb6fa59fbc00ad8501497e,False,0,,Sat May 03 13:54:24 -0700 2014,Sat May 03 13:54:24 -0700 2014,,
10,06316bec7a49286f1f98d5acce24f923,2696,da74a6ad1ddedbd36dc512f5c3aa6435,True,3,,Tue Jun 05 09:17:50 -0700 2012,Tue Jun 05 09:17:50 -0700 2012,,
11,06316bec7a49286f1f98d5acce24f923,30118,b9e067e3cb956265377acd987bad4d47,True,4,,Mon Jun 04 19:44:17 -0700 2012,Mon Jun 04 19:44:17 -0700 2012,,
12,06316bec7a49286f1f98d5acce24f923,30119,e46b12cfc4f8f55dad1503ff3beadfda,True,5,,Mon Jun 04 19:33:49 -0700 2012,Mon Jun 04 19:33:49 -0700 2012,,
13,06316bec7a49286f1f98d5acce24f923,23919,742d468b4ead4d380cd1a21452bea043,True,5,,Mon Jun 04 19:12:07 -0700 2012,Mon Jun 04 19:12:07 -0700 2012,,
14,06316bec7a49286f1f98d5acce24f923,1420,7c57debb4ae82760db062366f6ca9dd4,True,5,,Mon Jun 04 19:11:53 -0700 2012,Mon Jun 04 19:11:53 -0700 2012,,
15,06316bec7a49286f1f98d5acce24f923,6295,72b5423d791d0bad8f29de203d476e2c,True,4,,Mon Jun 04 19:02:07 -0700 2012,Mon Jun 04 19:02:07 -0700 2012,,
16,1711b2a40d154603f157536619f71967,17707772,0db150e02c91a22260fe47f7ff247a36,False,0,,Thu Feb 09 14:39:10 -0800 2017,Thu Feb 09 14:39:11 -0800 2017,,
17,1711b2a40d154603f157536619f71967,20821284,995233ed0bde03b52230ce41f04063b2,False,0,,Sun Oct 11 18:01:46 -0700 2015,Sun Oct 11 18:01:47 -0700 2015,,
18,1711b2a40d154603f157536619f71967,2547,bbebaa1cebb741159b23cba07dc32cc6,True,4,,Thu Sep 03 06:47:56 -0700 2015,Thu Feb 09 13:06:44 -0800 2017,,
19,220ef9c058a2132e6a9827f93a821d87,18743,e694ea059b1dd62b16039a63985e4d68,True,5,,Sun Jun 10 09:13:39 -0700 2012,Wed Jun 13 07:25:51 -0700 2012,,
20,220ef9c058a2132e6a9827f93a821d87,52820,fa2b40573025d0ac40d81f973342a005,True,5,,Sun Jun 10 09:12:01 -0700 2012,Wed Jun 13 07:30:54 -0700 2012,,
21,220ef9c058a2132e6a9827f93a821d87,543235,c92faddfd9c803a0c4991903336a57d5,True,5,,Tue Jun 05 10:33:22 -0700 2012,Wed Jun 13 11:05:47 -0700 2012,,
22,220ef9c058a2132e6a9827f93a821d87,23919,d608bfb451cfcc01ffed37f98d52738b,True,5,,Mon Jun 04 19:49:32 -0700 2012,Mon Jun 04 19:49:32 -0700 2012,,
23,220ef9c058a2132e6a9827f93a821d87,1381,6819af5c8aff0b3c2d857b1ad94cbc96,True,5,,Mon Jun 04 19:13:42 -0700 2012,Mon Jun 04 19:13:42 -0700 2012,,
24,220ef9c058a2132e6a9827f93a821d87,15997,754eb66e18062db1abb5af134bd18102,True,5,,Mon Jun 04 19:13:41 -0700 2012,Mon Jun 04 19:13:41 -0700 2012,,
25,01ec1a320ffded6b2dd47833f2c8e4fb,28188156,533cc1df5dcd899c09abc319146eb30c,False,0,,Tue Apr 05 00:44:11 -0700 2016,Tue Apr 05 00:44:12 -0700 2016,,
26,01ec1a320ffded6b2dd47833f2c8e4fb,22324396,637f6b4d6d5c2a93eb9c2d486bcdea65,False,0,,Mon May 26 09:32:57 -0700 2014,Mon May 26 09:32:57 -0700 2014,,
